components	id	date	location	crash	fire	injuries	deaths
POWER TRAIN, ELECTRICAL SYSTEM, FUEL/PROPULSION SYSTEM	11266874	2019-06-24	TRINIDAD, CA	No	No	0	0
POWER TRAIN, ELECTRICAL SYSTEM, UNKNOWN OR OTHER	11266553	2019-05-31	SAN DIEGO, CA	No	No	0	0
POWER TRAIN, ELECTRICAL SYSTEM, ENGINE	11266126	2019-05-20	MIDLOTHIAN, VA	No	No	0	0
ELECTRICAL SYSTEM	11266175	2019-06-24	POTOMAC, MD	No	No	0	0
ELECTRICAL SYSTEM	11266418	2019-05-22	SOMIS, CA	No	No	0	0
FUEL/PROPULSION SYSTEM	11266445	2019-06-27	SAN CLEMENTE, CA	No	No	0	0
ELECTRICAL SYSTEM	11258415	2019-09-23	MANHATTAN BEACH, CA	No	No	0	0
ELECTRICAL SYSTEM, STRUCTURE, UNKNOWN OR OTHER	11253727	2019-08-26	PALM BEACH, FL	No	No	0	0
FUEL SYSTEM, GASOLINE, ELECTRICAL SYSTEM, UNKNOWN OR OTHER	11246771	2019-06-01	IRVINE, CA	No	No	0	0
ELECTRICAL SYSTEM, EXTERIOR LIGHTING, UNKNOWN OR OTHER	11242154	2019-08-03	KELLER, TX	No	No	0	0
POWER TRAIN, ELECTRICAL SYSTEM	11240787	2019-05-15	VICTORVILLE, CA	No	No	0	0
UNKNOWN OR OTHER	11205764	2019-05-01	LOS ANGELES, CA	No	Yes	0	0
UNKNOWN OR OTHER	11144368	2016-11-03	ALLISON PARK, PA	Yes	No	0	2
SUSPENSION	11139596	2018-10-01	Unknown	No	No	0	0
STRUCTURE	11111289	2018-07-14	BAINBRIDGE ISLAND, WA	No	No	0	0
UNKNOWN OR OTHER	11102260	2018-06-17	LOS ANGELES, CA	No	Yes	0	0
STRUCTURE, UNKNOWN OR OTHER	11102352	2018-06-18	VALENCIA, CA	No	No	0	0
UNKNOWN OR OTHER	11096995	2018-05-18	CASTRO VALLEY, CA	Yes	No	0	0
SUSPENSION, UNKNOWN OR OTHER, FUEL/PROPULSION SYSTEM	11093243	2018-05-09	Unknown	No	No	0	0
ELECTRICAL SYSTEM, UNKNOWN OR OTHER	11092655	2018-05-08	FORT LAUDERDALE, FL	Yes	Yes	1	2
SUSPENSION	11091975	2018-02-01	Unknown	Yes	Yes	0	0
VEHICLE SPEED CONTROL, SERVICE BRAKES	11082114	2018-03-27	SAN RAMON, CA	Yes	No	0	0
FUEL/PROPULSION SYSTEM	11047680	2017-10-01	BEVERLY HILLS, CA	No	Yes	0	0
FUEL/PROPULSION SYSTEM	11046177	2017-10-09	BEVERLY HILLS, CA	No	Yes	0	0
FUEL/PROPULSION SYSTEM	11041379	2017-10-01	BEVERLY HILLS, CA	No	Yes	0	0
FUEL/PROPULSION SYSTEM	11020673	2017-08-01	BEVERLY HILLS, CA	No	Yes	0	0
UNKNOWN OR OTHER, FUEL/PROPULSION SYSTEM	11019984	2017-08-25	BEVERLY HILLS, CA	No	Yes	2	0
STEERING, SUSPENSION, SERVICE BRAKES	11019900	2017-08-25	BEVERLY HILLS, CA	Yes	Yes	1	0
SUSPENSION, FUEL/PROPULSION SYSTEM	11011599	2017-07-01	BEVERLY HILLS, CA	No	No	0	0
SUSPENSION, ELECTRICAL SYSTEM, FUEL/PROPULSION SYSTEM	10993104	2017-03-01	BEVERLY HILLS, CA	Yes	Yes	2	0
SUSPENSION, ELECTRICAL SYSTEM	10991885	2017-05-01	BEVERLY HILLS, CA	Yes	Yes	1	0
ELECTRICAL SYSTEM	10983879	2014-02-01	BEVERLY HILLS, CA	No	Yes	0	0
SUSPENSION	10983795	2017-04-12	Unknown	Yes	Yes	0	0
ELECTRICAL SYSTEM, STRUCTURE, UNKNOWN OR OTHER	10980353	2017-02-19	BEVERLY HILLS, CA	Yes	Yes	3	0
SUSPENSION	10980335	2017-01-31	BEVERLY HILLS, CA	No	Yes	0	0
SUSPENSION	10980333	2017-02-01	BEVERLY HILLS, CA	No	Yes	0	0
SUSPENSION	10970637	2017-03-01	BEVERLY HILLS, CA	No	Yes	0	0
